Name,Participant,Q1a,Q1b,Q2a,Q2b,Q2c,Q2d,Q2e,Q2f,Q2g,Q2h,Q2i,Q2j,Q3a,Q3b,Q4a,Q4b,Dance_mode,Music_mode,Palo
P3_D0_G1_M6_R1_T1,G1,2,7,2,7,7,7,7,7,7,7,7,1,7,7,,,D0,M6,R1
P3_D6_G1_M6_R1_T1,G1,2,7,4,6,7,6,6,7,7,7,6,1,7,7,,,D6,M6,R1
P3_D5_G1_M6_R1_T1,G1,2,7,4,6,7,6,5,5,7,7,7,5,6,6,,,D5,M6,R1
P3_D1_G1_M6_R1_T1,G1,3,7,4,7,7,7,7,7,7,7,7,1,7,7,,,D1,M6,R1
P3_D5_G1_M5_R1_T1,G1,7,6,7,6,7,7,7,7,5,1,2,1,7,7,,,D5,M5,R1
P3_D1_G1_M1_R1_T1,G1,7,6,6,6,7,6,7,7,6,2,2,1,7,7,,,D1,M1,R1
P3_D6_G1_M6_R2_T1,G1,2,6,2,6,6,6,6,6,6,7,6,6,6,6,,,D6,M6,R2
P3_D5_G1_M6_R2_T1,G1,2,4,2,5,5,5,5,5,5,7,6,4,5,5,,,D5,M6,R2
P3_D1_G1_M6_R2_T1,G1,2,6,2,6,6,7,6,6,7,7,7,1,7,7,,,D1,M6,R2
P3_D5_G1_M5_R2_T1,G1,7,7,7,7,7,7,7,7,7,1,6,1,7,7,,,D5,M5,R2
P3_D1_G1_M1_R2_T1,G1,7,7,7,6,7,7,7,7,6,1,1,1,7,7,,,D1,M1,R2
P3_D0_G1_M6_R2_T1,G1,1,1,1,5,6,4,4,5,5,7,5,4,5,5,,,D0,M6,R2
P4_D0_G2_M6_R1_T1,G2,2,4,4,6,6,7,7,4,6,7,7,6,6,6,,,D0,M6,R1
P4_D6_G2_M6_R1_T1,G2,2,4,4,6,6,7,7,6,7,7,7,5,6,7,,,D6,M6,R1
P4_D5_G2_M6_R1_T1,G2,2,4,5,6,6,7,7,6,6,7,7,6,6,7,,,D5,M6,R1
P4_D1_G2_M6_R1_T1,G2,2,4,4,6,7,6,7,7,7,7,6,5,6,7,,,D1,M6,R1
P4_D5_G2_M5_R1_T1,G2,6,6,7,6,7,7,7,7,6,6,5,6,7,7,,,D5,M5,R1
P4_D1_G2_M1_R1_T1,G2,7,6,6,6,7,7,7,7,6,5,5,6,6,7,,,D1,M1,R1
P4_D6_G2_M6_R2_T1,G2,2,4,4,6,7,7,7,7,6,7,6,6,4,3,,,D6,M6,R2
P4_D5_G2_M6_R2_T1,G2,2,2,4,7,7,7,7,7,7,7,6,6,5,5,,,D5,M6,R2
P4_D1_G2_M6_R2_T1,G2,2,2,4,7,7,7,7,7,5,5,5,6,5,4,,,D1,M6,R2
P4_D5_G2_M5_R2_T1,G2,4,5,5,6,7,7,7,7,7,4,4,6,4,5,,,D5,M5,R2
P4_D1_G2_M1_R2_T1,G2,7,6,4,6,7,6,6,5,6,6,4,3,4,5,,,D1,M1,R2
P4_D0_G2_M6_R2_T1,G2,1,2,4,6,6,7,7,5,7,7,7,6,4,4,,,D0,M6,R2
P5_D6_G3_M6_R1_T1,G3,1,1,4,6,6,6,6,6,5,6,6,2,5,4,6.0,6.0,D6,M6,R1
P5_D0_G3_M6_R1_T1,G3,1,1,6,6,6,6,6,6,6,7,7,2,5,5,,,D0,M6,R1
P5_D6_G3_M6_R1_T1,G3,2,2,6,5,6,4,4,5,5,5,5,5,4,6,5.0,5.0,D6,M6,R1
P5_D5_G3_M6_R1_T1,G3,1,1,6,6,6,6,6,6,5,6,6,3,5,5,7.0,7.0,D5,M6,R1
P5_D1_G3_M6_R1_T1,G3,1,1,6,6,7,6,6,7,7,7,6,2,5,6,7.0,7.0,D1,M6,R1
P5_D5_G3_M5_R1_T1,G3,4,5,6,7,7,7,6,7,6,6,6,1,6,6,7.0,7.0,D5,M5,R1
P5_D1_G3_M1_R1_T1,G3,7,6,7,7,7,7,7,7,7,6,6,1,7,7,7.0,7.0,D1,M1,R1
P5_D6_G3_M6_R2_T1,G3,1,1,5,6,6,6,6,7,5,5,4,1,7,6,6.0,6.0,D6,M6,R2
P5_D0_G3_M6_R2_T1,G3,1,1,4,6,6,6,6,7,7,7,7,1,5,5,,,D0,M6,R2
P5_D6_G3_M6_R2_T1,G3,1,1,6,6,6,6,6,6,6,6,6,2,5,7,6.0,6.0,D6,M6,R2
P5_D5_G3_M6_R2_T1,G3,2,6,7,6,7,6,6,7,7,5,5,1,6,7,7.0,7.0,D5,M6,R2
P5_D1_G3_M6_R2_T1,G3,2,5,6,6,7,6,6,7,6,5,5,1,6,6,7.0,7.0,D1,M6,R2
P5_D5_G3_M5_R2_T1,G3,6,3,3,4,7,3,3,6,2,2,2,1,5,6,7.0,2.0,D5,M5,R2
P5_D1_G3_M1_R2_T1,G3,7,5,7,6,7,6,6,7,5,4,4,1,6,7,7.0,5.0,D1,M1,R2
P3_D6_G1_M6_R1_T1,P3,2,2,4,5,6,4,6,5,6,6,6,6,6,5,,,D6,M6,R1
P3_D5_G1_M6_R1_T1,P3,4,2,4,2,4,3,4,5,4,2,4,6,3,4,,,D5,M6,R1
P3_D1_G1_M6_R1_T1,P3,7,4,6,6,7,5,6,6,5,3,6,6,7,5,,,D1,M6,R1
P3_D5_G1_M5_R1_T1,P3,6,5,6,4,7,7,6,7,6,3,3,7,5,6,,,D5,M5,R1
P3_D1_G1_M1_R1_T1,P3,7,6,7,5,7,6,6,7,7,3,3,7,5,7,,,D1,M1,R1
P3_D6_G1_M6_R2_T1,P3,2,4,4,5,7,7,6,7,6,6,7,7,6,5,,,D6,M6,R2
P3_D5_G1_M6_R2_T1,P3,4,4,4,6,7,7,6,7,6,4,6,7,5,6,,,D5,M6,R2
P3_D1_G1_M6_R2_T1,P3,7,4,7,4,7,5,7,7,4,3,3,7,5,5,,,D1,M6,R2
P3_D5_G1_M5_R2_T1,P3,6,6,7,7,7,7,7,7,6,2,3,7,7,7,,,D5,M5,R2
P3_D1_G1_M1_R2_T1,P3,7,4,7,4,7,5,7,7,4,3,3,7,5,5,,,D1,M1,R2
P4_D6_G2_M6_R1_T1,P4,2,1,1,7,1,1,7,1,7,7,7,1,2,2,,,D6,M6,R1
P4_D5_G2_M6_R1_T1,P4,5,3,4,5,1,2,2,5,4,5,4,4,3,4,,,D5,M6,R1
P4_D1_G2_M6_R1_T1,P4,7,2,6,4,6,4,4,4,4,3,2,4,2,2,,,D1,M6,R1
P4_D5_G2_M5_R1_T1,P4,6,5,6,6,1,6,6,6,6,5,3,4,4,5,,,D5,M5,R1
P4_D1_G2_M1_R1_T1,P4,7,6,7,6,7,1,6,7,6,6,1,3,7,6,,,D1,M1,R1
P4_D6_G2_M6_R2_T1,P4,1,1,1,7,1,1,7,7,7,7,7,1,1,1,,,D6,M6,R2
P4_D5_G2_M6_R2_T1,P4,4,1,7,1,7,4,2,4,2,2,1,4,1,1,,,D5,M6,R2
P4_D1_G2_M6_R2_T1,P4,7,1,7,1,4,7,1,2,1,2,1,2,1,1,,,D1,M6,R2
P4_D5_G2_M5_R2_T1,P4,6,4,6,5,6,4,4,5,5,4,2,2,4,3,,,D5,M5,R2
P4_D1_G2_M1_R2_T1,P4,7,4,5,5,4,4,4,4,4,4,3,3,3,3,,,D1,M1,R2
P5_D6_G3_M6_R1_T1,P5,1,1,7,7,7,7,7,7,7,7,6,1,7,5,7.0,7.0,D6,M6,R1
P5_D6_G3_M6_R1_T1,P5,2,6,7,6,6,1,6,6,6,6,4,1,4,4,4.0,4.0,D6,M6,R1
P5_D5_G3_M6_R1_T1,P5,5,5,4,4,5,4,4,4,4,3,4,3,4,3,5.0,5.0,D5,M6,R1
P5_D1_G3_M6_R1_T1,P5,6,6,6,6,7,6,7,7,6,6,6,1,6,7,7.0,7.0,D1,M6,R1
P5_D5_G3_M5_R1_T1,P5,6,6,6,6,7,7,6,7,6,6,6,1,6,6,7.0,7.0,D5,M5,R1
P5_D1_G3_M1_R1_T1,P5,7,7,7,7,7,7,7,7,7,4,4,1,7,6,7.0,7.0,D1,M1,R1
P5_D6_G3_M6_R2_T1,P5,2,6,6,7,7,7,7,7,6,7,6,1,6,6,7.0,7.0,D6,M6,R2
P5_D6_G3_M6_R2_T1,P5,2,5,6,6,6,6,6,6,6,6,4,2,5,5,7.0,7.0,D6,M6,R2
P5_D5_G3_M6_R2_T1,P5,5,6,7,7,7,7,7,7,6,6,6,1,5,6,7.0,7.0,D5,M6,R2
P5_D1_G3_M6_R2_T1,P5,7,6,4,6,7,7,7,7,6,6,6,1,6,6,7.0,7.0,D1,M6,R2
P5_D5_G3_M5_R2_T1,P5,5,4,6,6,6,6,6,6,5,4,4,3,5,5,4.0,4.0,D5,M5,R2
P5_D1_G3_M1_R2_T1,P5,7,6,4,6,7,7,7,6,6,6,4,1,6,6,7.0,7.0,D1,M1,R2
P6_D6_G1_M6_R1_T1,P6,2,6,7,7,1,1,7,7,4,7,7,1,7,7,7.0,7.0,D6,M6,R1
P6_D6_G1_M6_R1_T1,P6,3,6,4,5,6,3,5,6,4,6,7,1,5,5,7.0,7.0,D6,M6,R1
P6_D5_G1_M6_R1_T1,P6,5,6,4,6,7,6,6,6,5,4,6,1,6,6,7.0,7.0,D5,M6,R1
P6_D1_G1_M6_R1_T1,P6,7,5,7,6,6,7,6,7,6,2,6,1,6,6,7.0,7.0,D1,M6,R1
P6_D5_G1_M5_R1_T1,P6,7,6,7,6,7,7,6,7,6,2,7,1,6,6,7.0,7.0,D5,M5,R1
P6_D1_G1_M1_R1_T1,P6,7,6,7,6,6,7,6,6,6,5,7,1,5,5,7.0,7.0,D1,M1,R1
P6_D6_G1_M6_R2_T1,P6,7,4,7,5,3,2,5,6,4,4,6,1,4,4,7.0,7.0,D6,M6,R2
P6_D6_G1_M6_R2_T1,P6,5,5,6,5,5,5,6,6,4,4,5,1,5,6,7.0,7.0,D6,M6,R2
P6_D5_G1_M6_R2_T1,P6,7,6,6,6,7,7,2,6,6,4,6,1,6,6,7.0,7.0,D5,M6,R2
P6_D1_G1_M6_R2_T1,P6,7,5,7,6,7,6,5,6,6,2,6,1,6,6,7.0,7.0,D1,M6,R2
P6_D1_G1_M1_R2_T1,P6,7,6,7,6,7,7,2,7,7,3,6,1,6,6,7.0,7.0,D1,M1,R2
P6_D6_G1_M6_R1_T1,G1,2,2,2,6,5,7,7,7,7,7,7,1,7,7,7.0,7.0,D6,M6,R1
P6_D0_G1_M6_R1_T1,G1,2,4,2,7,5,7,7,7,7,6,6,1,7,7,,,D0,M6,R1
P6_D6_G1_M6_R1_T1,G1,2,4,2,7,5,7,7,7,7,6,6,1,7,7,7.0,7.0,D6,M6,R1
P6_D5_G1_M6_R1_T1,G1,4,4,4,5,4,5,4,6,5,4,4,2,5,5,5.0,5.0,D5,M6,R1
P6_D1_G1_M6_R1_T1,G1,3,4,3,7,4,7,7,7,7,5,6,1,7,7,7.0,7.0,D1,M6,R1
P6_D5_G1_M5_R1_T1,G1,6,6,4,4,4,6,6,7,6,2,5,1,6,6,7.0,7.0,D5,M5,R1
P6_D1_G1_M1_R1_T1,G1,7,7,7,7,6,7,7,7,7,2,7,1,7,7,7.0,7.0,D1,M1,R1
P6_D6_G1_M6_R2_T1,G1,2,2,2,6,4,6,6,6,6,5,6,2,5,5,6.0,6.0,D6,M6,R2
P6_D0_G1_M6_R2_T1,G1,1,1,1,7,6,7,7,7,7,7,7,1,7,7,,,D0,M6,R2
P6_D6_G1_M6_R2_T1,G1,2,2,2,6,4,2,6,6,6,5,5,1,6,5,6.0,6.0,D6,M6,R2
P6_D5_G1_M6_R2_T1,G1,3,3,3,5,4,3,5,5,5,3,5,5,4,4,5.0,5.0,D5,M6,R2
P6_D1_G1_M6_R2_T1,G1,2,2,2,6,5,6,6,6,6,5,6,2,6,5,6.0,6.0,D1,M6,R2
P6_D1_G1_M1_R2_T1,G1,7,7,2,6,5,7,7,7,7,3,6,1,7,7,7.0,7.0,D1,M1,R2
