segment_ID,body_side,Description,joint_prox,joint_dist,mass,rproxd,kproxd,rogcg,length
1,Right,Hand,15,19,0.0065,0.51,0.54,0.1774823935,0.0575
2,Right,Forearm,13,15,0.0187,0.43,0.53,0.3098386677,0.157
3,Right,Upper Arm,11,13,0.0325,0.44,0.54,0.3130495168,0.172
4,Right,Forearm and hand,11,15,0.0252,0.68,0.83,0.4759201614,0.2145
5,Right,Foot,27,31,0.0143,0.5,0.69,0.4754997371,0.0425
6,Right,"Leg, Shank",25,27,0.0475,0.43,0.53,0.3098386677,0.247
7,Right,Thigh,23,25,0.105,0.43,0.54,0.3266496594,0.232
8,Right,Leg + Foot,25,27,0.0618,0.61,0.74,0.4189272013,0.2895
9,Center,Head + Neck,34,33,0.0826,0.55,0.61,0.2638181192,0.1075
10,Center,Thorax,11,12,0.201,0.5,0.62,0.3666060556,0.127
11,Center,Abdomen ,11,12,0.1306,0.38,0.43,0.201246118,0.081
12,Center,Pelvis,23,24,0.1366,0.5,0.65,0.4153311931,0.093
13,Center,Trunk (hip to shoulder),35,33,0.551,0.63,0.81,0.5091168825,0.3
14,Left,Hand,16,20,0.0065,0.51,0.54,0.1774823935,0.0575
15,Left,Forearm,14,16,0.0187,0.43,0.53,0.3098386677,0.157
16,Left,Upper Arm,12,14,0.0325,0.44,0.54,0.3130495168,0.172
17,Left,Forearm and hand,14,16,0.0252,0.68,0.83,0.4759201614,0.2145
18,Left,Foot,28,32,0.0143,0.5,0.69,0.4754997371,0.0425
19,Left,"Leg, Shank",26,28,0.0475,0.43,0.53,0.3098386677,0.247
20,Left,Thigh,24,26,0.105,0.43,0.54,0.3266496594,0.232
21,Left,Leg + Foot,26,28,0.0618,0.61,0.74,0.4189272013,0.2895